KONTIOLAHTI,Joensuu,FINLAND
HOCHFILZEN,Tyrollean,AUSTRIA
Sylvie Becaert,ANNECY-LE GRAND BORNAND,FRANCE
ZEMLJEVID STADIONA,POKLJUKA,SLOVENIA
RUHPOLDING VENUE ARENA,RUHPOLDING,GERMANY
Sudtirol Arena,ANTHOLZ-ANTERSELVA,ITALY
NOVE MESTO NA MORAVE,NOVE MESTO NA MORAVE,CZECH REPUBLIC
OESTERSUND,OESTERSUND,SWEDEN
OSLO HOLMENKOLLEN,OSLO,NORWAY
BREZNO-OSRBLIE,BREZNO-OSRBLIE,SLOVAKIA
IDRE FJALL,IDRE,SWEDEN
RIDNAUN-VAL RIDANNA,RIDANNA,ITALY
SJUSJOEN,SJUSJOEN,NORWAY
The Roland Arena,LENZERHEIDE,SWITZERLAND
MARTELL-VAL MARTELLO,VAL MARTELLO,ITALY
Alpensia Biathlon Centre,GANGWON,KOREA
Nordic-Center Notschrei,NOTSCHREI,GERMANY
Grosser Arber,ARBER,GERMANY
The Jakuszyce Cross-Country Centre,JAKUSZYCE,POLAND
The Tehvandi Sports Center in Otepaa,OTEPAEAE,ESTONIA
OBERTILLIACH,OBERTILLIACH,AUSTRIA
Soldier Hollow Nordic Center,SOLDIER HOLLOW,UTAH UNITED STATES
Canmore Nordic Centre,CANMORE,CANADA
